Car Make,Car Model,Dealer or Individual,Price,Year,Location,Mileage,Doors,Color,Transmission,VIN#,Engine,Description,Web link
Toyota,Rav4,Dealer,21300,2016,"Walnut Creek, CA",90441,4,White,Automatic,2T3WFREV0GW274936,2.5 L 4-cylinder,"The automatic transmission makes driving easier in stop-and-go traffic and on hilly roads, on top of that the front wheel drive delivers better traction and stability in snow and ice. Unheard of fuel mileage at 23 MPG in town and whopping 30 miles on the highway.",https://sfbay.craigslist.org/eby/ctd/7533077081.html
Toyota,Rav4,Dealer,10995,2009,"1125 Detroit Ave, CA",172844,4,White,Automatic,JTMBK31V095081967,"V6, 3.5 Liter","Limited Extra Value PKG W/Navigation
inc: daytime running lights
pwr tilt/sliding moonroof w/sunshade
Bluetooth handsfree phone capability
leather seating surfaces
8-way pwr driver seat w/pwr lumbar
driver/front passenger heated seats
120V AC pwr outlet
DVD navigation system
Tow Prep PKG
inc: 150 amp alternator
transmission oil cooler
larger radiator
fan coupling
Rearview Parking Display
inc: display located inside rearview mirror",https://sfbay.craigslist.org/eby/ctd/7533076248.html
Toyota,Highlander,Dealer,21990,2012,"Lower Bottoms, Oakland, CA",75000,4,White,Automatic,5TDBK3EH9CS140312,"V6, 3.5 Liter","Vehicle Info for Stock# 2001887828
Trim: Sport Utility 4D suv
Mileage: 75k miles
Exterior Color: White
Interior Color: Gray
Engine: V6, 3.5 Liter
Drive: awd
Transmission: Automatic, 6-Spd w/Sequential Mode
VIN: 5TDBK3EH9CS140312",https://sfbay.craigslist.org/eby/ctd/7533326039.html
Toyota,Corolla,Individual,15590,2013,Pittsburgh,79767,4,Silver,Automatic,2T1BU4EE6DC074253,1.8-Liter 4-Cylinder DOHC,,https://www.carvana.com/vehicle/2417328#inspection-150-point
Toyota,Camry,Dealer,19990,2012,"San Francisco, CA",76000,4,Blue,Automatic,5TDZA3EH0CS021002,"4-Cyl, 2.7 Liter","Vehicle Info for Stock# 2001946064
Trim: Sport Utility 4D suv
Mileage: 76k miles
Exterior Color: Blue
Interior Color: Tan
Engine: 4-Cyl, 2.7 Liter
Drive: Two Wheel Drive
Transmission: Automatic, 5-Spd w/Sequential Mode
VIN: 5TDZA3EH0CS021002",https://sfbay.craigslist.org/sfc/ctd/7533332493.html
Toyota,Highlander,Dealer,24990,2013,"1700 E Bayshore Rd, CA",75000,4,Black,Automatic,5TDDK3EH5DS278391,"V6, 3.5 Liter","Vehicle Info for Stock# 2001823556
Trim: Limited Sport Utility 4D suv
Mileage: 75k miles
Exterior Color: Black
Interior Color: Brown
Engine: V6, 3.5 Liter
Drive: awd
Transmission: Automatic, 5-Spd w/Sequential Mode
VIN: 5TDDK3EH5DS278391",https://sfbay.craigslist.org/sby/ctd/7533286451.html
Toyota,Camry,Dealer,13888,2007,"3368 El Camino Real, CA",100855,4,Black,Automatic,JTNBB46K673029414,I4 2.4L Natural Aspiration,"Year: 2007
Make: Toyota
Model: Camry Hybrid
Series: Base 4dr Sedan
VIN: JTNBB46K673029414
Stock #: 4712
Condition: Used
Mileage: 100,855
Exterior: Black
Interior: Gray
Body: Sedan
Transmission: CVT
Engine: I4 2.4L Natural Aspiration
Drivetrain: fwd",https://sfbay.craigslist.org/scz/ctd/7533350316.html
Toyota,Camry,Dealer,21990,2017,,49019,4,Black,Automatic,4T1BF1FK5HU395265,"4-Cyl, 2.5 Liter",,https://www.carvana.com/vehicle/2447790
Toyota,Corolla,Dealer,15880,2013,"3368 El Camino Real, CA",89580,4,Silver,Automatic,5YFBU4EE3DP202495,I4 1.8L Natural Aspiration,"Year: 2013
Make: Toyota
Model: Corolla
Series: LE 4dr Sedan 4A
VIN: 5YFBU4EE3DP202495
Stock #: 4190
Condition: Used
Mileage: 89,580
MPG: 26 city / 33 highway
Exterior: Silver
Interior: Gray
Body: Sedan
Transmission: Automatic 4-Speed
Engine: I4 1.8L Natural Aspiration
Drivetrain: fwd",https://sfbay.craigslist.org/eby/ctd/7533349249.html
Toyota,Rav4,Dealer,29900,2019,,55483,4,white,Automatic,2T3P1RFV3KW029171,"4-Cyl, 2.5L",,https://www.carvana.com/vehicle/2423338
